codigo,codbarras,descrip1art
------,---------,-----------
NULL,6921875009940,KETOPROFENO AMP 100MG
NULL,6921875010052,CIPROFLOXACINA 500MG X 10 TAB KMPLUS
NULL,6921875010786,CEFADROXILO 500 MG TABL X 10 KMPLUS
NULL,6921875010830,IBUPROFENO 400 MG X 10 TABL KMPLUS
NULL,6921875010861,DIPIRONA 500 MG X 10 TAB KMPLUS
NULL,6942189211287,DICLOFENA SODICO 100MGX5 SUP KMPLUS
NULL,6942189211300,FUROSEMIDA 40 MG X 10 TAB KMPLUS
NULL,6942189211317,PREDNISOLONA 5MG X 10 TAB KMPLUS
NULL,6942189211461,DICLOFENAC POTASICO
NULL,6942189304132,DEXAMETAXONA 1MGX10 TAB
NULL,6942189304149,DICLOFENAC SODICO 100MG X 10 TAB KMPLUS
NULL,6942189304163,DOXICICLINA 100 MG X 10 TAB KMPLUS
NULL,6942189304194,LOPERMIDA 2MG X 10 TAB KMPLUS
NULL,6942189304217,NAPROXENO 500 MG X 10 TAB KMPLUS PHARMAC
NULL,6942189304248,CAPTOPRIL 50 MG 10 TAB
NULL,6942189304286,DICLOFENAC SODICO GEL 1% 30GR KMPLUS
NULL,6942189304293,GENTAMICINA UNG OFTA 0.3% 5GR
NULL,6942189304316,METRONIDAZOL 125MG/5ML 100ML SUSP KMPLUS
NULL,6942189304323,AMOXICILINA SUSP 125MG/5ML X 100 ML KMPL
NULL,6942189304347,AMPICILINA SUSP 125MG/5MLX100ML KMPLUS
NULL,6942189530166,IBUPROFENO SUSP 100 MG X 100 ML KMPLU
NULL,6942189530210,CEFALEXINA 125MG/5MLX 60ML SUSP KMPLUS
NULL,6970097350965,AMOXICILINA 500MG-ACID CLAV 125MG AMOXY
NULL,6974546560394,CANDESARTAN 8MG X 30 TAB 2N
NULL,6974546560950,SINOVUL (LEVONO 0.15MG/ETINIL 0.03 ) 2N
NULL,6974546561148,FUROSEMIDA 20MG X 30 TAB 2N
NULL,7088,VIT C TAB MASTICABLE 500MG
NULL,720524031013,NIFEDIPINA 20MG X30 LATTAN MEDIC
NULL,720524031075,ESOMEPRAZOL 40MG X 14 TAB LATTAN
NULL,720524031082,MELOXICAM 15MG X 10 TAB LATTAN
NULL,720524031099,TIZANIDINA 2MG
NULL,720524031181,SERTRALINA CLOHIDRA 50MG X 10 TAB LATTAN
NULL,730170648985,LEVOCETIRICINA 5MG X 10 TAB KMPLUS
NULL,730170649081,CARBIDOPA/LEVODOPA 25MG/250MG X 10 TAB
NULL,730170649111,MOMETASONA FUROATO CREMA 30G KMPLUS
NULL,730170649210,BUDESONIDA INHALADOR 200MCG DOSIS KMPLUS
NULL,730170649265,DEFLAZACORT 6MG X 10 TAB
NULL,730170649296,DUTASTERIDA/TAMSULOSINA 0.5/0.4MG X10 CA
NULL,730170649302,FEXOFENADINA 120 MG X 10 TAB KMPLUS
NULL,730170649319,FERXOFENADINA 180MG X 10 TAB KMPLUS
NULL,730170649470,SECNIDAZOL 500 MG X 4 TAB KMPLUS
NULL,730170649487,FUMARATO FERROSO200MG/ACIDO FOLICO0.25MG
NULL,731946648444,BETA-CLOTRI-NEOMIC CREMA 15G ARTE M
NULL,731946648468,DICLOFENAC POTASICO 50MG X 10 ARTE MEDIC
NULL,731946648499,NIMESULIDE 100MG X 15 TAB ARTE MEDICO
NULL,731946648512,OMEPRAZOL 20MG X 15 CAPS
NULL,731946648536,CLOPIDROGEL 75 MG X 10 TAB ARTE M
NULL,731946648604,LORATADINA 10MG X 10 TAB ARTE MEDICO
NULL,731946648611,TIOCOL 4MG/ BUPROF 400MG X 10 ARTE M
NULL,731946648680,NIFEDIPINA L.P. 30MG X 30 TAB
NULL,736372230058,AMIKACINA SULFATO 500MG/2ML AMP GLOBAL M
NULL,736372230096,CLINDAMICINA 600MG/4ML I.M/I.V. AMP
NULL,736372692061,ACICLOVIR 5% CREMA X 20G TOPICA H&M
NULL,736372692078,AMOXICILINA ACIDO CLAVU 875MG/125MG X 10
NULL,736372692085,AMOXICILINA-ACIDO CLAVUL 600MG-42.90 H
NULL,736372692092,AMOXICILINA 250MG/5ML X 60 ML SUSP
NULL,736372692108,AMOXICILINA 500 MG X 10 CAP H
NULL,736372692122,AZITROMICINA 500MG X 3 TAB
NULL,736372692146,CEFIXIME 100MG/5ML SUSP H
NULL,736372692177,IBUPROFENO 600MG/TIOCOLCHICOSIDO 4MG TAB
NULL,736372692184,KETACONAZOL 2% 20G TOPICA H
NULL,736372692207,NITAZOXANIDA 500 MG X 6 TAB (H)
NULL,736372692214,SULFADIAZINA DE PLATA 1% CREMA H
NULL,736372692252,BETAMETASONA 0.05% X 20 G H
NULL,736372692283,LIDOCAINA 5% GEL X30G H
NULL,736372722270,CEFADROXILO 500MG X10 TAB H&M
NULL,736372722300,ESOMEPRAZOL 20MG X 30TAB H
NULL,736372722324,FUROSEMIDA 20 MG X 30 TAB H
NULL,736372722331,FUROSEMIDA 40 MG X 30 TAB H&M
NULL,736372722348,HIDROCLORIOTIAZIDA 12.5MG X 30TAB H
NULL,736372722362,OMEPRAZOL 20MG X 30CAP H
NULL,736372722393,SULTAMICILINA 250MG/5ML H
NULL,736372722409,SULTAMICILINA 750MG X 10 TAB H
NULL,736372722416,TIOCOLCHICOSIDO 8MG X 10 TAB H&M
NULL,736372722454,BETHAHISTINA CLORHIDRATO 8 MG X 30 TAB
NULL,736372722478,AMIODARONA CLORHIDRATO 200MG X 10TAB H
NULL,736372722515,CIPROFLOXACINA 500MG X 10 TAB H
NULL,736372722553,KETOPROFENO 100MG X 10 TAB H
NULL,736372827364,KETOPROFENO 100MG/2ML I.V/I.M AMPOLL
NULL,7401078990201,GYNOTRAN CREMA VAGINAL 40G
NULL,7460536574025,BRESIS PLUS DIOSMI/HESPIRID 500MG X30TB
NULL,7467217703446,AMOXICILINA 250 MG/5 ML 60ML
NULL,7467217703514,COMPLEJO B MULTIVITAMINICO JBE 120ML S
NULL,7467217703552,PIPERAZINA 500MG/5ML JBE X 120ML
NULL,7467217703576,CEFALEXINA
NULL,7467922682173,NORPRIM 81 MG X 100 TAB
NULL,7468999187707,LEVOFLOXACINA 500MG/100ML ALFA
NULL,7501298224930,EUTIROX 50MG X 50 TAB MERCK
NULL,7501298224954,EUTIROX 100 MG X 50 TAB MERCK
NULL,7501298234601,EUTIROX 100 MG X 50 TAB MERCK
NULL,7501298234809,EUTIROX 25MG X 50 TAB MERCK
NULL,7501298234908,EUTIROX 50MG X 50 TAB MERCK
NULL,7501303438802,MESIGYNA INYECTABLE 1ML BAYER
NULL,7501384506872,ESLISTICA BROMURO DE PINAVERIO 100MG X14
NULL,7501384549954,CITALOPRAM 20MG X 15 TAB (REMICITAL) ART
NULL,7502216802889,ESPIRONOLACTONA 25MG X 20 TAB
NULL,756029628243,GABAPENTINA 300MG X 14 CAP LATTAN MEDIC
NULL,756029628250,PREGABALINA 75 MG X 14 CAP LATTAN
NULL,756029628311,BUSCALATT FEM X 10 TAB LATTAN
NULL,756029628328,BUSCALATT PLUS X 10 TAB LATTAN
NULL,756029628366,NIFEDIPINA LP 30MG X 30TAB LATTAN MEDIC
NULL,7590027000921,SULTAMICILINA SUSP PED 250MGX60 SP
NULL,7590027001010,CIPROFLOXACINA COMPDO 750MGX6 SPE
NULL,7590027001089,METFORMINA CLORHID 1000MG X 30COMP SPEFA
NULL,7590027001942,KETOROLAC TAB 10 MG X 20 SPEFAR
NULL,7590027002208,CARVEDILOL 6,25 X 20 COMP SPÉFAR
NULL,7590027002727,RIVAROXABAN 10MG X 30 COMP SPEFAR
NULL,7590027002857,CANDESARTAN CILEXETICO 8MG CJX30COMP
NULL,7590027002864,CANDESARTAN CILEXETILO 16MGX 30 COMP SPE
NULL,7590027002932,RIVAROXABAN 20MG X 30 COMP SPEFAR
NULL,7591020000710,AMOXIVAL CAP 500 MG X 12
NULL,7591020000758,AMOXIVAL SUSP 250 MG X 90 ML
NULL,7591020001519,OXOLAMINA JBE ADU X 120 ML VALM
NULL,7591020001625,SALBUROL SOL INH AL 0.5% X 20
NULL,7591020003148,CLONIDINA INY 0.150MG/1ML X2 GENCE
NULL,7591020003230,DUROVAL X 2 50MG
NULL,7591020005012,DUROVAL X 1
NULL,7591020005029,DUROVAL TAB 50 MG X 3
NULL,7591020006330,DUROVAL TAB 100 MG X 1
NULL,7591020007474,PREDNISONA TAB 50MG X 10 GENCER
NULL,7591020007566,CANDESARTAN TAB 16MG X 10 GENCER
NULL,7591020007597,AZITROMICINA TABR 500 MG X 5 GENCER
NULL,7591020008297,CANDER TAB 8MG X 30
NULL,7591020008303,CANDER TAB 16MG X 30
NULL,7591020008594,VALSARTAN +HID TABR 80MG/12,5 X14GE
NULL,7591020008600,VALSARTAN+HID TABR 160MG/12,5 X14GE
NULL,7591020008808,CANDESARTAN 8MGX 30 TAB GENCER
NULL,7591020008914,LOSARTAN POTASICO 50X30TAB GENCER
NULL,7591020009232,QUETIVAL QUEATIPINA 25MGX30TAB VALMORCA
NULL,7591020009379,TADALAFIL 5MG X 15 TAB VALMORCA
NULL,7591020009409,VALSARTAN 80MG X 30 CAP GENCER
NULL,7591020080590,ESQUIDONE TAB 2mg x 30
NULL,7591020080620,CANDER HCT TAB 16MG/12,5MG X 30
NULL,7591020080637,CANDER HCT TAB 8MG/12,5MG X 30
NULL,7591020080781,TADAFOX TAB REC 5mg x 30
NULL,7591020080996,PRELIVAL (PREGABALINA) 75X20CAP VALMORCA
NULL,7591020081092,EPITRAL TAB 50 MG X 30
NULL,7591062010012,MYCOFENTIN CREM VAG 2% X 40 GR
NULL,7591062010029,ALBICAR SUS 400 MG X 10 ML
NULL,7591062010616,BRUGESINA 300MG/10MG X 10 COMP
NULL,7591062010753,COLFENE COM 400 MG/4 MG X 10
NULL,7591062011200,PEREBRON JBE PED X 120 ML
NULL,7591062011262,PEREBRON JBE PED MIEL/LIMON 120 ML
NULL,7591062011323,TACHIPIRIN TAB 500 MG X 20
NULL,7591062011361,TACHIPIRIN SUP 125 MG X 6
NULL,7591062011538,TANTUM TPCO BUCAL X 240 ML
NULL,7591062011606,TANTUM DUCHA VAG SOL X 140 ML
NULL,7591062011613,TANTUM TPCO BUCAL SPRAY X 45 ML
NULL,7591062011644,TRITTICO TAB 100 MG X 30
NULL,7591062011811,KLAS CAP X 20
NULL,7591062011828,KLAS JBE FCO X 60 ML
NULL,7591062013082,BRUGESIC FORTE PED SUS X 60 ML
NULL,7591062013303,LIOLACTIL X SOBRE DETALLADO
NULL,7591062014607,FLATORIL CAP BLDA 125 MG X 20
NULL,7591062017295,TACHIFORTE TAB 650 MG X 10
NULL,7591062017301,TACHIPIRIN FORTE JBE PED X 120 ML
NULL,7591062166191,FLATORIL SUS GTS 80 MG/ML X 20 ML
NULL,7591062900900,COLFENE COMPR 600 MG/4 MG X15
NULL,7591062901129,FLOMED SOL TOP BUC SPRAY 45ML
NULL,7591062901198,GENURIN GRAG 200 MG X 10
NULL,7591062901297,LAFARCAINA MIEL LIMON X 16TAB ELMOR
NULL,7591062901365,FLOMED SOL TOP 0,15%-0,25% X 180ML
NULL,7591062902379,BRUGESIC COMPR 200 MG X 10
NULL,7591062902539,BRUGESIC GRAG 600 MG X 10
NULL,7591062902546,BRUGESIC 400MG X 10
NULL,7591196000071,CLARASOL SOL OFT X 15 ML
NULL,7591196000088,CLARIX SOL OFT X 15 ML
NULL,7591196000101,CLARIX SOL NSAL PED X 15 ML
NULL,7591196000286,LACRIDOS SOL OFT X 15 ML
NULL,7591196000439,QUINOFTAL SOL OFT X 5 ML
NULL,7591196000491,TOBRASOL SOL OFT 0.3% X 5
NULL,7591196000514,TODEX SUSP OFT X 5 ML
NULL,7591196000583,DOBET SOL OFT X 5 ML
NULL,7591196000637,QUINOTIC HC SUSP OTICA X 5 ML
NULL,7591196000668,BUDECORT SUSP PARA INHALAR 15ML OFTALMI
NULL,7591196000682,RINOMAX SOL NASAL X 15 ML
NULL,7591196000897,TODEX UNG OFT X 7,5 GR
NULL,7591196001726,FISIOLIN SOL NEBUKIZADOR 260 DOSIS
NULL,7591196002198,FISIOLIN SOL NASAL PED X 15 ML
NULL,7591196002204,DUOVENT SOL P/INHALAR X 15 ML
NULL,7591196002242,OCUPRED SUSP OFT 1 % X 5 ML
NULL,7591196002273,QUINOCORT SUSP OFT X 5ML
NULL,7591196002303,SALBUTAMOL SOLP/INHAL 5MG/ML X 15M
NULL,7591196002464,AZA CARD TAB 81 MG X 30
NULL,7591196002549,AIRON TAB MAST PED 5 MG X 10
NULL,7591196002563,AIRON TAB AD 10 MG X 10
NULL,7591196002624,LAGRIMAS ARTIFICIALES SOL OFTX15ML
NULL,7591196002693,ALERGOT SOL OFT 0,05 % X 5 ML
NULL,7591196002785,APIRET SUSP ORAL 180MG X 120ML
NULL,7591196002952,AIRON TAB MAST 4 MG X 10
NULL,7591196003027,NAS GTA PED SOL NASAL 0.05% X 15 ML
NULL,7591196003065,CALCITREX D3 TAB 950MGX30
NULL,7591196003140,NAS AD GTA SOL NASAL 0.1% X 15ML
NULL,7591196003171,CLARIX SOL GTAS 0.20% X150ML
NULL,7591196003416,QUINOMAX SOL OFT 0,50%X5ML
NULL,7591196003430,ALFADYN SOL OFT 0,20%X5ML
NULL,7591196003942,OPAT SOL OFT 0,1% X 5ML
NULL,7591196004161,DESLORAT 0,5 MG X 60 ML OFTALMI
NULL,7591196004208,LACRI FORT SOL OFT X 15 ML
NULL,7591196004604,CORTYNASE REFORM SUS 0.05% X 140 DO
NULL,7591196004727,TOBRAMICINA 0.3% 5 ML
NULL,759119600624,AFLAMAX SUPOSITORIOS X 6 OFTALMI
NULL,7591196006288,QUINOTIC CIPROFLOXACINA 4 ML
NULL,7591196006356,CORTYNASE 0.05% FUROATO DE MOMET 50MCG
NULL,7591196006417,AFLAMAX S 50MG X 6 SUPOSITORIOS
NULL,7591196006530,MUCOXOL AMROXOL 30MG/5ML OFTALMI
NULL,7591196007155,APIRET JAB 60ML
NULL,7591196007162,BUDECORT SUSP P/INH 1MG/ML X 10ML
NULL,7591196007186,AFLAMAX 50MG X 10 COMP
NULL,7591196007193,PERIDONT SOL TOP BUCAL 240ML
NULL,7591243801750,AMIODARONA TAB 200MGX10
NULL,7591243802092,ARESAN 20MG X 30
NULL,7591243802115,ARESAN OLMESARTAN MEDOXOMIL 40MGX30 TAB
NULL,7591243804041,BETADERM GENTAMICINA CREM X 15 GR
NULL,7591243804140,BETADERM CREMA 0,05% X 15 GR
NULL,7591243804164,BETADERM PLUS CREMA x15g
NULL,7591243807370,BROFLEMA JBE 8MG/5ML X 120ML
NULL,7591243811483,DECA LENTERMINA COMPLE X 3 AMP BIOTECH
NULL,7591243811643,DERMAPIL 0.1% MOMETASONA FUROATO BIOTECH
NULL,7591243812398,DI-EUDRIN 12.5 TAB X 30
NULL,7591243814347,EKI CAL SUSP 120ML BIOTECH
NULL,7591243826777,IVAGAN FORTE TAB 650 MG X 10
NULL,7591243831474,LOGANIL JARABE ADULTO 120ML
NULL,7591243831511,LOGANIL JARABE PED 120ML
NULL,7591243851106,TONUM TAB 10MG X 30
NULL,7591243856705,YONAL JBE X 120 ML AREX
NULL,7591309000608,WAMPOLE EMUL NARANJA X 240 ML
NULL,7591309000714,VITENOL CREM X 15 GR
NULL,7591309002183,OVERSKIN 13% CREMA PAŃALITIS
NULL,7591309010409,DENCORUB CREM X 40 GR
NULL,7591309010416,DENCORUB GEL X 40 GR
NULL,7591519000290,CAPTOPRIL 50 MG X 10 TAB
NULL,7591519000474,DOL TAB X 10 CALOX
NULL,7591519000573,FESTAL X 10 TAB (DETALLADO)
NULL,7591519000610,AMOXICILINA A/CLAVU 400MG-57MG/5ML CALOX
NULL,7591519001044,PREDNISONA TAB 50 MG X 10 CALOX
NULL,7591519001112,ACIDO FOLICO 10MG X 30TAB CALOX
NULL,7591519001174,CARVEDILOL 6.25 MG X 28 TAB CALOX
NULL,7591519001211,DIOSMINA 600MGX 28TAB CALOX
NULL,7591519001587,DOL TAB X 20 CALOX
NULL,7591519001617,METFORMINA 500MG X 28 TAB MOROCHA CALOX
NULL,7591519003734,METFORMINA TAB 850 MG X 28 CALOX
NULL,7591519005134,DOL PLUS TAB X 10
NULL,7591519005141,DOL PLUS TAB 650MG X 20
NULL,7591519006698,VALSARTAN HCT TABR 80/12,5 MG X14 C
NULL,7591519007053,CARVEDILOL TAB 12,5 MG X 14 CALOX
NULL,7591519007183,SERTRALINA TABR 50 MG X 10 CALOX
NULL,7591519007428,DOMPERIDONA TAB 10 MG X 15 CALOX
NULL,7591519008197,DEFLAZACORT TAB 6MG X 10 CALOX
NULL,7591519008210,DESLORATADINA TAB 5 MG X 10 CALOX
NULL,7591519008487,CALOXPIRINA TABE 81 MG X 30
NULL,7591519050806,PREDNISONA TAB 5 MG X 30 CALOX
NULL,7591519051285,CAPTOPRIL CALOX 25mg x 30 TAB
NULL,7591519317398,HEXOMEDINE 30g
NULL,7591519317411,LASIX (FUROSEMIDA) 20MG X 20 TAB MCK
NULL,7591519317428,FESTAL X10 CALOX
NULL,7591519317572,FESTAL GRAG X 25
NULL,7591519317619,LASIX (FUROSEMIDA) 40 MG X 12 COMP MCK
NULL,7591585110923,MONOSULPA SOL NSAL X 15ML
NULL,7591585110930,NASIN SOL NSAL AD X 15 CC
NULL,7591585111005,VIASEK COMPDO 50 MG X 2
NULL,7591585111166,FLUVIRIN JBE 120 ML
NULL,7591585111661,CANFIR L.P 750 MG X 30 TAB METFORMINA
NULL,7591585112552,OXIDREN COMP 150MG X 1
NULL,7591585112620,CANFIR 500MG LP 30COMP
NULL,7591585113139,FULGRAM SUSP 600MG X 60ML
NULL,7591585113368,NEUROMIX 10 COMP
NULL,7591585113382,NEUROMIX SOL INY X 3 AMP
NULL,7591585114389,LISILETIC COMPDO 20MG/12,5MG X 30
NULL,7591585114884,LETISAN GTA PED X 20 CC
NULL,7591585115737,MIGREN 650mg X 10 COMP
NULL,7591585118431,TENSOMAX CAP 30 MG X 30
NULL,7591585118462,ZONTRICON COM 500MGX6
NULL,7591585119049,RIFAMIX COMR 200 MG X 12
NULL,7591585170361,DEXAMETASONA INY 4MG/2ML X 1
NULL,7591585174581,CETERIZINA 10MG X 10 COMP GENVEN
NULL,7591585174598,CETIRIZINA SOL PED 1M/ML X60ML GEN
NULL,7591585177353,LORATADINA COMPDO 10 MG X 10 GENVE
NULL,7591585213198,FULGRAM COMPR 875 MG/125 MG X 16
NULL,7591585213334,ASARAP 15 MG X 30 COMP LETI
NULL,7591585213341,ASARAP 20MG X 30 COMP
NULL,7591585214881,LETISAN SOL REFORM X 120 ML
NULL,7591585215901,DERAIN CREM X 15 GR
NULL,7591585216175,ALIVET GRANULADO LIMON X1 SOBRE
NULL,7591585216755,ALIVET JBE 125/0,5 MG X 120 ML GENV
NULL,7591585217165,BIOTALOL COMR 5 MG X 30
NULL,7591585217172,BIOTALOL -BISOPROLOL COMR 2,5 MG X 30
NULL,7591585217523,DIKLASON A.P. COM 100 MG X 20
NULL,7591585217660,BABILIN GOTA 100MG - 0.42MG X 20 ML LETI
NULL,7591585219299,DIKLASON GEL 50 GR
NULL,7591585272652,LERCANIDIPINA CLORHIDRATO 10 MGX30 TAB G
NULL,7591585277701,IBUPROFENO 100MG/5ML SUSP
NULL,7591585278166,AMLODIPINA COMPDO 5 MG X 30 GENVEN
NULL,7591585278173,AMLODIPINA COMP 10MG X 30 GENVEN
NULL,7591585278265,CARBAMAZEPINA COMPDO 200MGX30 GENV
NULL,7591585278920,LOSARTAN POTASICO 100MG X10 COMP GENVEN
NULL,7591585278951,LOSARTAN POT COMPR 50MG X30 GENVEN
NULL,7591585279057,ACETAMINOFEN 650MG X 10 COMP GENVEN
NULL,7591585279460,AZITROMICINA COMPDO 500MGX5 GENVE
NULL,7591585314864,LETISAN CAPS 500MG X 10
NULL,7591585317025,PREGABALINA 150MG PEGYT X 20 TAB
NULL,7591585318565,TEKRON COMR 200 MG X 10
NULL,7591585319616,ULGARIN CAP 40MGX32
NULL,7591585370167,CAPTOPRIL COMP 25MG X30 GENVEN
NULL,7591585375636,CARVEDILOL COMP 6,25 MG X 30
NULL,7591585375643,CARVEDILOL COMP 12,5 MG X 30 GENVEN
NULL,7591585375872,VALSARTAN 80MG X 14 CAP GENVEN
NULL,7591585376657,ACETAMINOFEN 500 MG X 10 GENVEN
NULL,7591585378736,LOSART-HIDRO 50MG/12.5MGX 15 COMP GENV
NULL,7591585378798,OLMESARTAN MEDOXOMIL 20MG X 14 TAB GENVE
NULL,7591585378804,OLMESALTAR MEDOXONIL 40MGX 14 TAB GENVEN
NULL,7591585378927,LOSARTAN POT GV COMP 100mg x30
NULL,7591585415738,MIGREN COMPR 650MG/50MG/1G X20
NULL,7591585475633,CARVEDILOL 6.25 MG X 15 COMP GENVEN
NULL,7591585561237,ASAPROL COM 81 MG X 40
NULL,7591585616685,ALIVETFORTE NOCHE SOBRE 10 GR
NULL,7591616000902,LECHE DE MAGNESIA 120 ML BIOFARCO
NULL,7591616001657,SULFATIAZOL POLVO SOBRE X5GR BIOFARCO
NULL,7591616001930,EMULSION JBE X 180 ML BIOFARCO
NULL,7591619000541,FLEMIBAR 6.67MG-33.40ML X 20ML ROWE
NULL,7591619000619,ROWELUK 5MG X 10 COMP MONTELUKAST ROWE
NULL,7591619000626,MONTELUKAST ROWELUK 10 ROWE
NULL,7591619000633,DERMOSUPRIL 0.1% LOCION 30ML
NULL,7591619000800,GULAPER JBE PED 100/5ML X 60ML
NULL,7591619001005,NEFROTAL H 100MG/12.5MG ROWE
NULL,7591619001180,NEFROTAL 50MG X 30 COPM ROWE
NULL,7591619002774,COROPRES 32 MG X 30 TAB CANDESARTAN
NULL,7591619517285,ROWELUK 4 MONTELUKAST X30 TAB
